Id,artist,album,title,Genre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,The Rope River Blues Band,Smith Enjoys a Full Bush.,Weatherman,SoulRB-Country-Folk-Pop-Experimental-Rock-Blues,Avant-Garde,melancholy,love to death,Ivanhoe,czHit,my pleasuredome,oni pout,the Beowulfs choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Kidney Brothers (The Numbers Band),Live on WFMU's The John Allen Show - December 11 2013,Wolf,Blues-SoulRB-Rock,indie,alternative,experimental,rock,TV on the radio,Avant-Garde,electronic,alternative rock,00s,best of 2006,somafm,Bagel,post-punk,epic,post-rock,favorites,art rock,NYC,new york,Energetic,2006,amazing,fun,party,Awesome,cool,Brooklyn,dark,Experimental Rock,Favourites,aitch,sonic rock,aitchsonic,halloween,aitchepic,rockin,werewolf,aitchawake,catchy,Love,dance,american,male vocals,Wolf Like Me,Favorite,aitchchill,criminal minds,chill,MOONH8SUN,Progressive rock,favourite,favorite songs,trip-hop,male vocalists,upbeat,Awake,TV on the Radio - Wolf Like Me,great lyrics,genius,top500,headphone rocker,twilight,animals,i gotta dance NOW,bones,FUCKING AWESOME,2000s,walking the streets at night with your headphones on,indie pop,i love it,aitchknight,i rock i roll,Soundtrack,wolf,background music for a perfect day,lizvelrene loves,brofist radio,rock band,songs with animals in title,good beat,upbeat lyrics,wow,acclaimed music top 3000,scream it loud,urgent,musical journey,dancey,New York City,q- -p,ass kicker,temazo,brit-rock,driver picks the music,gilbert,best songs of the 00s,Favourite Songs,electric rock instrumentation,sex,,
1003,Samm Bennett,Live on WFMU's Miniature Minotaurs with Kurt Gottschalk - November 11 2013,My My My,Blues-SoulRB-Folk-Experimental,tony bennett,oldies,easy listening,swing,male vocalists,san francisco,60s,lounge,crooners,jazzyscrooners,Lisaaubs,crooner,love songs,romantic,evergreens,left my heart in san francisco,vocal jazz,favorites,600,vocal,I Left My Heart In San Francisco,1962,pop,Suing,sokr,California,Smooth Jazz,we lov u TB for giving us all these yrs,acclaimed music top 3000,a little eggplanty,male jazz vocal,tony benett,out of our heads,jazz vocal,famisa,Jazz Vocal Tag,slgdmbestof,male standards,crowe,easy great lounge song,Besto,perficta,Tony Bennett I Left My Heart in San Francisco,geografia,im herz,malesinger,tony bennnet,best songs of the 60s,teppaz,Stile Sinatra,Cena importante,Cali baby,tony bennetts,perfect to listen to while leaving the planet,Aurea,favoritissimas,Jazz Blues NPR,sooz ballads,dia chuvoso ou nublado,langsamly,Macworld,aconchegante,almetvoices,hospital radio,bianca grooves,dbest,jaka to melodia,i left my heart,bestallof,everbest,thereispasttenseinmepresenttenseeventually,Jazz Joao,peribelina,newbest,Old School Vocalists,ik ben,crooner cwcafe,seebest,Radiotsar approved,weeziemix,night cocktail,pm coktail,the million sellers 1,fhNotBad,TB - San Fran,77davez-all-tracks,boston by the bay,GH10,music for H,hombre vocalista,fH Projex,Sternmusik,mom and pop,ss2011 - 1,us-singer,balida,wundervolle Schlager,melancholy,,
1004,The Rope River Blues Band,The Rope River Blues Band,Visitor,SoulRB-Country-Folk-Pop-Rock-Blues,rock,alternative,post-rock,trippy,texas,Love this song,duyster,silent intensity,what goes on around here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Brother JT,Live on WFMU's Zzzzzzero Hour with Bill Mac - August 10 ' 2013,Summer,Blues-SoulRB-Rock,blues,Janis Joplin,rock,60s,psychedelic,blues rock,female vocalists,Psychedelic Rock,hippie,summertime,Acid Rock,san francisco 60s,oldies,Love,summer,cover,guitar,favorites,beautiful,60's,groove,calma,blues-rock,Big Brother and the Holding Company,female vocalist,hard rock,Incredible Cover,pulsar00,waldi,1968,standard,soul,70s,Power ballad,covers,rock & roll,cheap thrills,album rock,pop,Ballad,gershwin,live performance,jukey pick,Loez,Big brother and the holding compnay,m rock,Summertime and the living is easy,neccessities,cover de Ella Fitzjerald,Q10,Jahreszeiten,Harald,radio paola,singers female,station 2,my favourites pieces of music,Nighthawks,PM Classic Rock,blues female vocalists,Orgasmic Classic Rock,lisbe,ELECTRIQUE,voci femminili,femmina,voce femminile,back to the roots,The Greatest Songs,classic rock-baladas,classic rock-baladas-mujeres,bar songs,Vietnam days,not dead,GiLA,song for a walk,best of 70s 2,like a fire,summertime janis,superfavourits,mb amo,yannik,splintered sunlight,losekannsongs,summer deck,loved by archer,bigbro,Janis Joplin:Summertime,panag,re issue,not janis singing,Majors beloved FM,nye favoritter,belles choses,rolotototota,remember60,ramar,Summertime    Big Brother and the Holding Company,womenvoices,summretime,,
1006,Wildbirds and Peacedrums,Live at WFMU on Trouble's Show on 6/19/2008,The Window,Blues-SoulRB,indie,lovely,indie folk,h0leinmys0ul,melancholy,deep,Awesome,morning calm,blue songs,chilled,tantotempotaste,acoustic,indie rock,slow,EthnicFolkPearls,Englishness,pukkelpop 2011,over 5 minutes long,a long red glare,2009,sehr ruhig,jesus etc,Noah and the Whale,indiena sound,This Is A Low,sadandbeautiful,Lyrics for my life,perfect for sitting alone in a dark room with a mug of cocoa,like2009-2014,2k9 mix,Mellow,rock,Love,piano,alternative,sad,british,melodic,soft,00s,Stars,Like,cozy,love at first listen,moods,goodlyrics,Piano Songs,another planet,2star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Wildbirds and Peacedrums,Live at WFMU on Trouble's Show on 6/19/2008,Doubt/Hope,Blues-SoulRB,something about dancing like a moron,smile glow,2009,actually several kinds of brilliant,this is the music i want to dance to,dear song: I will stop sleeping for you,songs that make me want to run around with bubbles,harmonicas or handclaps or cheering or whistling or ukuleles or banjos or accordians or xylophones,hey song youre so fucking cute,involuntary movement of body parts,I Will Possess Your Heart,lets fall in love and run away from here,seen in 2009,Lehigh Valley Community Public Radio,sxsw 2009,latitude 2009,Whos Got The Clap,like it,Voice,female vocalists,freak folk,indie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Brother JT,Live on WFMU's Zzzzzzero Hour with Bill Mac - August 10 ' 2013,Warm's The New Cool,Blues-SoulRB-Rock,Love,cool,political,clap,crock,handclaps,Meltdown,claps,kindness,dnp,psychedelphia,greater psychedelphia,Whos Got The Clap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Big Bill Broonzy,Baby, Please Don't Go,SoulRB-Blues,acoustic blues,delta blues,harmonica,harmonica blues,Love it,BLUEZZZ,Big joe williams,Old Blues,30s,country blues,june 2006 berep tag pre1960s treasures,true blues,lonely nights screaming silence away,Baby Please Dont Go,double-ender 4,hight speed report,them cover this,slgdmblues,Classic Blues,Mellow,world,dirty blues,A8,babies and babylon,Classic Old Acoustic Blues,plinky plunky,americana,kocham lubie szanuje,hl soft,hl blue,Satin Doll,metro downtempo,metro classics,acoustic,bal76b,like a fire,stepping into muddy water,gragontwo,acclaimed music top 3000,jazz,guitar,dblews,time for a clearout,big joe 9 string,5 of 10 stars,Tribute,asd,oldskool,lo fi,old timey,Guitar Gods,my music,guitar blues,Slide,TP,stompin,i feel good,meo,1935,RnR Hall of Fame 500 songs that shaped rock and roll,vvvvv,original,connections,rhythm and blues,leaking eyes and hearts,favorites,dolby,Rocking blues,musique de la ville 3,old blues very good track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,The Relatives,Live at the Bell House,Bad Trip,Blues-SoulRB-Rock,dark ambient,doom jazz,dark jazz,9 pour cent,drugged and doped according to stretchead,experimental,horror jazz,chillout,hardcore,drone,wish list,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Cooper-Moore & Assif Tsahar,tells untold,The Eight,SoulRB-Blues,post-punk,2005,00s,2000s,rock,alternative,indie rock,My Favorites,bunnymen heaven,tiresome and banal music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
