song_id,title,artist,album,Genre,,,,,,,,,,,,,,
2001,Old Tree,Creepoid,n/a,Rock,,,,,,,,,,,,,,
2002,Spring Day 1,Amar Lal,n/a,Singer/Songwriter,,,,,,,,,,,,,,
2003,Excessive Resistance to Change,Joel Helander,n/a,Classical,,,,,,,,,,,,,,
2004,Flying,Aimee Norwich,n/a,World/Folk,,,,,,,,,,,,,,
2005,Waterduct,Ava Luna,n/a,Rock,,,,,,,,,,,,,,
2006,Air Traffic,Clara Berry and Wooldog,n/a,Singer/Songwriter,,,,,,,,,,,,,,
2007,Heavy Love,Dreamers of the Ghetto,n/a,Pop,,,,,,,,,,,,,,
2008,Disturbing Wildlife,Invisible Familiars,n/a,Singer/Songwriter,,,,,,,,,,,,,,
2009,Definition,Joel Helander,n/a,Classical,,,,,,,,,,,,,,
2010,Yatora,Karim Douaidy,n/a,World/Folk,,,,,,,,,,,,,,
2011,Toynbee Suite,Lushlife,n/a,Rap,,,,,,,,,,,,,,
2012,Impressions of Saturn,Matthew Entwistle,n/a,Classical,,,,,,,,,,,,,,
2013,The Arch,Matthew Entwistle,n/a,Classical,,,,,,,,,,,,,,
2014,You Listen,Meaxic,n/a,Rock,,,,,,,,,,,,,,
2015,Bester Jungling,NYU,n/a,Classical,,,,,,,,,,,,,,
2016,Chinese Jiang Nan,Music Delta,n/a,World/Folk,,,,,,,,,,,,,,
2017,Funk Jazz,Music Delta,n/a,Jazz,,,,,,,,,,,,,,
2018,Modal Jazz,Music Delta,n/a,Jazz,,,,,,,,,,,,,,
2019,The Broken Pledge - Chicago Reel,Phoenix,n/a,World/Folk,,,,,,,,,,,,,,
2020,The Collier's Daughter,Phoenix,n/a,World/Folk,,,,,,,,,,,,,,
2021,Stay Even,Port St Willow,n/a,Singer/Songwriter,,,,,,,,,,,,,,
2022,Mignon (Kennst du das Land) Op.92a Mvt.1,NYU,n/a,Classical,,,,,,,,,,,,,,
2023,Spacestation,Strand of Oaks,n/a,Pop,,,,,,,,,,,,,,
2024,Captain Sky,Tabla Breakbeat Science,n/a,Electronic/Fusion,,,,,,,,,,,,,,
2025,Rock Steady,Tabla Breakbeat Science,n/a,Electronic/Fusion,,,,,,,,,,,,,,
2026,Scorpio,Tabla Breakbeat Science,n/a,Electronic/Fusion,,,,,,,,,,,,,,
2027,Vermont,The Districts,n/a,Rock,,,,,,,,,,,,,,
2028,Les Fleurs Du Mal,The Scarlet Brand,n/a,Rock,,,,,,,,,,,,,,
2029,Night Owl,A Classic Education,n/a,Singer/Songwriter,,,,,,,,,,,,,,
2030,990,In Faded Glory,Polyplastic Heaven,rock,indie,acoustic,pop,energetic,drama,entertainment,energy,vocal,electric,male,bass,drum,electricguitar,
2031,Go,No, Really,n/a,folk,,,,,,,,,,,,,
2032,Song For Jade,Kryptic Mood,Social Espionage,pop,rock,electronic,psychedelic,new,,,,,,,,,,
2033,Uranium,Hunt Club,Hunt Club EP 2006,rock,punk,acoustic,pop,adventure,soundtrack,vocal,movie,brooklyn,electric,male,voice,,,
2034,Hey! beauty,Jacques COUTURIER,When the night falls,pop,chanson,jazzycool,chansoncrooner,,,,,,,,,,,
2035,Mit dem Unibalett im Ulmer Monster tanzen,Die Partysahnen,Porno im Akkord,rock,punk,pop,indie,german,,,,,,,,,,
2036,Feel-ipson,Feel-ipson,Out of the sand,pop,electronic,experimental,,,,,,,,,,,,
2037,Dreamworld,engeo,Half of a Sentence,pop,acoustic,rock,soft,ballad,love,expresive,,,,,,,,
2038,rouge et blues,Fabrice Collette,rouge et blues,blues,pop,chanson,acoustic,adventure,french,vocal,cool,electric,male,voice,,,,
2039,Le Blues du Fantome,FOOL DADAZ FIRE,CNSM SESSIONS #1,pop,jazz,chanson,soul,love,vocal,cool,smooth,electric,male,voice,drum,electricguitar,,
2040,FUCK THE WAR,Ralph Buckley,FUCK THE WAR!!!,acoustic,pop,rock,adventure,political,vocal,peace,war,electric,male,electricguitar,voice,guitar,,
2041,Little White Church,Steven Dunston,Hymns About Her (advance),pop,acoustic,easylistening,poprock,relaxing,energetic,religious,energy,vocal,electric,male,piano,voice,organ,
2042,Classical Delay,Ogg Vorbis,Underscore,groove,electronic,experimental,jazz,,,,,,,,,,,
2043,Summer,Matti Paalanen,Roomful of Emptiness,jazz,easylistening,travel,adventure,electric,instrumental,drum,electricguitar,guitar,,,,,,
2044,Habanera,Manuzik,Ouverture,world,ethno,electronic,lounge,spanish,culture,electrojazz,electric,instrumental,,,,,,
2045,Jazzy Mode,Behrang Shegarfkar,Wasted Time,jazz,classical,acoustic,instrumental,energetic,energy,piano,,,,,,,,
2046,O Pindo,PELdeNOZ,Ensaio 16 de abril de 2008,jazz,folk,celtic,acoustic,,,,,,,,,,,
2047,La note en cage,AdHoc,Toutes directions,jazz,funk,instrumental,lounge,soleil,metisse,electric,saxophone,bass,drum,,,,,
2048,Travelling in balochistan - late night highway,Maneros productions,On the road,rock,pop,punk,hiphop,,,,,,,,,,,
2049,Lonely Fool,Steve.e!,SUN LP,electronic,hiphop,lofi,drumnbass,adventure,sad,beat,electric,instrumental,drum,sampler,synthesizer,,,
2050,Homecoming,BeatRaider,A Journey Through My World,hiphop,electronic,adventure,beats,intrumental,beatraider,electric,instrumental,,,,,,,
2051,a fleur de peau,elbrujo,autopsie cerebrale,rap,hiphop,bon,inovateur,,,,,,,,,,,
2052,Les 3 singes,Juice lee,Sombre...,rap,hiphop,melodic,piano,violin,,,,,,,,,,
2053,Neon,ADC LEVEL,Subway Stories,electronic,techno,ambient,hiphop,,,,,,,,,,,
2054,Interlude,Tom La Meche,Blog,jazz,blues,improvisation,lounge,soft,chillout,electrojazz,cool,electric,instrumental,guitar,electricguitar,bass,,
2055,Vide grenier,Goo Goo Cluster,Goo Goo Cluster,reggae,blues,rock,soul,horns,,,,,,,,,,
2056,happy child singing,Ruediger Kramer,japanese blues,jazz,experimental,blues,improvisation,chillout,adventure,electric,instrumental,saxophone,drum,synthesizer,,,,
2057,Au Feu,La Verue,Riez Noir,rock,blues,acoustic,punk,energetic,soundtrack,society,energy,vocal,commercial,electric,male,bass,drum,electricguitar
2058,Inside Views,La Verue,Riez Noir,rock,blues,acoustic,grunge,crime,political,society,vocal,bar,rebelle,electric,male,bass,drum,electricguitar
